date,label,longitude,latitude,rainfall
08-12-2007,1,76.26650241,32.09850004,0.00583
08-12-2007,1,77.59139944,32.73340023,0.368
06-03-2008,1,77.19300105,31.20770097,0.0000019
21-12-2008,1,77.08899698,30.89500204,0.0152
09-10-2009,1,77.5795962,32.40349809,0.632
09-12-2009,1,77.16249634,31.10320193,0.327
08-04-2010,1,77.41380236,32.75710035,0.0612
01-01-2008,0,78.42565433,32.1641737,0.733200431
01-01-2008,0,78.66421326,33.46113483,0.736423075
01-01-2008,0,77.68111243,32.7176205,0.737744927
01-01-2008,0,79.19685755,33.65678822,0.740564883
01-01-2008,0,76.12013398,29.2196992,0.742181003
07-10-2011,1,76.93299979,31.7098983,0.757
16-02-2012,1,76.12010121,32.56549724,0.771
01-01-2008,0,78.92440693,33.510782,0.811784983
26-08-2014,1,77.92769592,31.55930108,0.816
01-01-2008,0,79.13975209,31.08904138,0.823968947
01-01-2008,0,78.63053636,31.97490064,0.827612639
01-01-2008,0,78.10476634,29.89424707,0.829640746
01-01-2008,0,79.6912023,30.16465502,0.830374658
01-01-2008,0,78.4406271,31.8834986,0.83508718
01-01-2008,0,79.62589767,30.21066367,0.835591137
01-01-2008,0,78.94822548,31.4329759,0.836415231
01-01-2008,0,75.82472845,29.67650827,0.836527765
01-01-2008,0,78.64102397,31.47739435,0.842290759
01-01-2008,0,79.01190946,32.80103741,0.84362644
01-01-2008,0,78.76448862,31.45105488,0.844652176
01-01-2008,0,78.88368694,30.38957869,0.856874943
01-01-2008,0,79.41743818,31.77016649,0.858866513
01-01-2008,0,78.0990684,32.13779881,0.861350894
01-01-2008,0,79.59594669,30.91102717,0.864377439
01-01-2008,0,78.56113816,31.17394743,0.879092097
01-01-2008,0,78.56330627,31.21419927,0.879092097
01-01-2008,0,78.25403806,29.62245698,0.8989923
01-01-2008,0,78.07899499,32.08908001,0.905096114
01-01-2008,0,78.75670467,30.35363689,0.942408502
01-01-2008,0,77.83830907,29.85382775,0.956512988
01-01-2008,0,76.23649487,33.40103507,0.961048424
01-01-2008,0,76.44836703,33.22447196,0.962615192
07-12-2011,1,77.1779828,31.10587739,0.997
01-01-2008,0,77.85432155,32.0590007,1.003148198
01-01-2008,0,75.77106363,33.15339859,1.011664391
01-01-2008,0,75.76079701,33.16236066,1.011664391
01-01-2008,0,77.75096973,30.03233554,1.01504755
01-01-2008,0,78.44811934,29.90733504,1.019169688
01-01-2008,0,77.13910237,32.91807481,1.021646857
07-11-2010,1,77.21060113,32.30400217,0.0139
08-11-2010,1,77.11039621,31.95799823,0.0000428
07-06-2013,1,77.72409783,31.16279782,1.0249149
01-01-2008,0,75.7279993,33.30612609,1.035127044
03-05-2011,1,77.15859909,32.09960144,0.0000019
08-06-2011,1,77.13222351,31.69137966,0.121
14-06-2011,1,77.24659945,32.37089761,0.147
01-01-2008,0,75.54885417,30.04711837,1.035458207
09-10-2009,1,78.61669838,31.88329937,1.0536332
01-01-2008,0,75.93636801,30.62149903,1.070267439
01-01-2008,0,76.25560901,29.83058498,1.070642471
01-01-2008,0,78.47152823,29.7077485,1.079846859
01-01-2008,0,77.0454574,32.84721992,1.084041357
01-01-2008,0,75.97279293,30.9735798,1.087656617
01-01-2008,0,78.73838271,29.71025897,1.098062277
15-10-2014,1,77.09909684,31.01640107,1.0991972
01-01-2008,0,76.44104835,32.66562146,1.115338206
01-01-2008,0,79.73806008,30.36155347,1.123234749
01-01-2008,0,79.80322978,30.69506992,1.14360702
