lat,lon
30.5,75.5
30.5,75.6
30.5,75.69999999999999
30.5,75.79999999999998
30.5,75.89999999999998
30.5,75.99999999999997
30.5,76.09999999999997
30.5,76.19999999999996
30.5,76.29999999999995
30.5,76.39999999999995
30.5,76.49999999999994
30.5,76.59999999999994
30.5,76.69999999999993
30.5,76.79999999999993
30.5,76.89999999999992
30.5,76.99999999999991
30.5,77.09999999999991
30.5,77.1999999999999
30.5,77.2999999999999
30.5,77.39999999999989
30.5,77.49999999999989
30.5,77.59999999999988
30.5,77.69999999999987
30.5,77.79999999999987
30.5,77.89999999999986
30.5,77.99999999999986
30.5,78.09999999999985
30.5,78.19999999999985
30.5,78.29999999999984
30.5,78.39999999999984
30.5,78.49999999999983
30.5,78.59999999999982
30.5,78.69999999999982
30.5,78.79999999999981
30.5,78.8999999999998
30.6,75.5
30.6,75.6
30.6,75.69999999999999
30.6,75.79999999999998
30.6,75.89999999999998
30.6,75.99999999999997
30.6,76.09999999999997
30.6,76.19999999999996
30.6,76.29999999999995
30.6,76.39999999999995
30.6,76.49999999999994
30.6,76.59999999999994
30.6,76.69999999999993
30.6,76.79999999999993
30.6,76.89999999999992
30.6,76.99999999999991
30.6,77.09999999999991
30.6,77.1999999999999
30.6,77.2999999999999
30.6,77.39999999999989
30.6,77.49999999999989
30.6,77.59999999999988
30.6,77.69999999999987
30.6,77.79999999999987
30.6,77.89999999999986
30.6,77.99999999999986
30.6,78.09999999999985
30.6,78.19999999999985
30.6,78.29999999999984
30.6,78.39999999999984
30.6,78.49999999999983
30.6,78.59999999999982
30.6,78.69999999999982
30.6,78.79999999999981
30.6,78.8999999999998
30.700000000000003,75.5
30.700000000000003,75.6
30.700000000000003,75.69999999999999
30.700000000000003,75.79999999999998
30.700000000000003,75.89999999999998
30.700000000000003,75.99999999999997
30.700000000000003,76.09999999999997
30.700000000000003,76.19999999999996
30.700000000000003,76.29999999999995
30.700000000000003,76.39999999999995
30.700000000000003,76.49999999999994
30.700000000000003,76.59999999999994
30.700000000000003,76.69999999999993
30.700000000000003,76.79999999999993
30.700000000000003,76.89999999999992
30.700000000000003,76.99999999999991
30.700000000000003,77.09999999999991
30.700000000000003,77.1999999999999
30.700000000000003,77.2999999999999
30.700000000000003,77.39999999999989
30.700000000000003,77.49999999999989
30.700000000000003,77.59999999999988
30.700000000000003,77.69999999999987
30.700000000000003,77.79999999999987
30.700000000000003,77.89999999999986
30.700000000000003,77.99999999999986
30.700000000000003,78.09999999999985
30.700000000000003,78.19999999999985
30.700000000000003,78.29999999999984
30.700000000000003,78.39999999999984
30.700000000000003,78.49999999999983
30.700000000000003,78.59999999999982
30.700000000000003,78.69999999999982
30.700000000000003,78.79999999999981
30.700000000000003,78.8999999999998
30.800000000000004,75.5
30.800000000000004,75.6
30.800000000000004,75.69999999999999
30.800000000000004,75.79999999999998
30.800000000000004,75.89999999999998
30.800000000000004,75.99999999999997
30.800000000000004,76.09999999999997
30.800000000000004,76.19999999999996
30.800000000000004,76.29999999999995
30.800000000000004,76.39999999999995
30.800000000000004,76.49999999999994
30.800000000000004,76.59999999999994
30.800000000000004,76.69999999999993
30.800000000000004,76.79999999999993
30.800000000000004,76.89999999999992
30.800000000000004,76.99999999999991
30.800000000000004,77.09999999999991
30.800000000000004,77.1999999999999
30.800000000000004,77.2999999999999
30.800000000000004,77.39999999999989
30.800000000000004,77.49999999999989
30.800000000000004,77.59999999999988
30.800000000000004,77.69999999999987
30.800000000000004,77.79999999999987
30.800000000000004,77.89999999999986
30.800000000000004,77.99999999999986
30.800000000000004,78.09999999999985
30.800000000000004,78.19999999999985
30.800000000000004,78.29999999999984
30.800000000000004,78.39999999999984
30.800000000000004,78.49999999999983
30.800000000000004,78.59999999999982
30.800000000000004,78.69999999999982
30.800000000000004,78.79999999999981
30.800000000000004,78.8999999999998
30.900000000000006,75.5
30.900000000000006,75.6
30.900000000000006,75.69999999999999
30.900000000000006,75.79999999999998
30.900000000000006,75.89999999999998
30.900000000000006,75.99999999999997
30.900000000000006,76.09999999999997
30.900000000000006,76.19999999999996
30.900000000000006,76.29999999999995
30.900000000000006,76.39999999999995
30.900000000000006,76.49999999999994
30.900000000000006,76.59999999999994
30.900000000000006,76.69999999999993
30.900000000000006,76.79999999999993
30.900000000000006,76.89999999999992
30.900000000000006,76.99999999999991
30.900000000000006,77.09999999999991
30.900000000000006,77.1999999999999
30.900000000000006,77.2999999999999
30.900000000000006,77.39999999999989
30.900000000000006,77.49999999999989
30.900000000000006,77.59999999999988
30.900000000000006,77.69999999999987
30.900000000000006,77.79999999999987
30.900000000000006,77.89999999999986
30.900000000000006,77.99999999999986
30.900000000000006,78.09999999999985
30.900000000000006,78.19999999999985
30.900000000000006,78.29999999999984
30.900000000000006,78.39999999999984
30.900000000000006,78.49999999999983
30.900000000000006,78.59999999999982
30.900000000000006,78.69999999999982
30.900000000000006,78.79999999999981
30.900000000000006,78.8999999999998
31.000000000000007,75.5
31.000000000000007,75.6
31.000000000000007,75.69999999999999
31.000000000000007,75.79999999999998
31.000000000000007,75.89999999999998
31.000000000000007,75.99999999999997
31.000000000000007,76.09999999999997
31.000000000000007,76.19999999999996
31.000000000000007,76.29999999999995
31.000000000000007,76.39999999999995
31.000000000000007,76.49999999999994
31.000000000000007,76.59999999999994
31.000000000000007,76.69999999999993
31.000000000000007,76.79999999999993
31.000000000000007,76.89999999999992
31.000000000000007,76.99999999999991
31.000000000000007,77.09999999999991
31.000000000000007,77.1999999999999
31.000000000000007,77.2999999999999
31.000000000000007,77.39999999999989
31.000000000000007,77.49999999999989
31.000000000000007,77.59999999999988
31.000000000000007,77.69999999999987
31.000000000000007,77.79999999999987
31.000000000000007,77.89999999999986
31.000000000000007,77.99999999999986
31.000000000000007,78.09999999999985
31.000000000000007,78.19999999999985
31.000000000000007,78.29999999999984
31.000000000000007,78.39999999999984
31.000000000000007,78.49999999999983
31.000000000000007,78.59999999999982
31.000000000000007,78.69999999999982
31.000000000000007,78.79999999999981
31.000000000000007,78.8999999999998
31.10000000000001,75.5
31.10000000000001,75.6
31.10000000000001,75.69999999999999
31.10000000000001,75.79999999999998
31.10000000000001,75.89999999999998
31.10000000000001,75.99999999999997
31.10000000000001,76.09999999999997
31.10000000000001,76.19999999999996
